No.                      TimeTemperature°C
608              2020/4/5 6:24:19      21.6
609              2020/4/5 6:24:49      21.6
610              2020/4/5 6:25:19      21.6
611              2020/4/5 6:25:49      21.6
612              2020/4/5 6:26:19      21.6
613              2020/4/5 6:26:49      21.6
614              2020/4/5 6:27:19      21.6
615              2020/4/5 6:27:49      21.6
616              2020/4/5 6:28:19      21.6
617              2020/4/5 6:28:49      21.6
618              2020/4/5 6:29:19      21.6
619              2020/4/5 6:29:49      21.6
620              2020/4/5 6:30:19      21.6
621              2020/4/5 6:30:49      21.6
622              2020/4/5 6:31:19      21.6
623              2020/4/5 6:31:49      21.6
624              2020/4/5 6:32:19      21.6
625              2020/4/5 6:32:49      21.6
626              2020/4/5 6:33:19      21.6
627              2020/4/5 6:33:49      21.5
628              2020/4/5 6:34:19      21.5
629              2020/4/5 6:34:49      21.5
630              2020/4/5 6:35:19      21.5
631              2020/4/5 6:35:49      21.5
632              2020/4/5 6:36:19      21.5
633              2020/4/5 6:36:49      21.5
634              2020/4/5 6:37:19      21.5
635              2020/4/5 6:37:49      21.5
636              2020/4/5 6:38:19      21.5
637              2020/4/5 6:38:49      21.5
638              2020/4/5 6:39:19      21.5
639              2020/4/5 6:39:49      21.5
640              2020/4/5 6:40:19      21.5
641              2020/4/5 6:40:49      21.5
642              2020/4/5 6:41:19      21.5
643              2020/4/5 6:41:49      21.5
644              2020/4/5 6:42:19      21.5
645              2020/4/5 6:42:49      21.5
646              2020/4/5 6:43:19      21.5
647              2020/4/5 6:43:49      21.5
648              2020/4/5 6:44:19      21.5
649              2020/4/5 6:44:49      21.5
650              2020/4/5 6:45:19      21.5
651              2020/4/5 6:45:49      21.5
652              2020/4/5 6:46:19      21.5
653              2020/4/5 6:46:49      21.5
654              2020/4/5 6:47:19      21.5
655              2020/4/5 6:47:49      21.5
656              2020/4/5 6:48:19      21.5
657              2020/4/5 6:48:49      21.5
658              2020/4/5 6:49:19      21.5
659              2020/4/5 6:49:49      21.5
660              2020/4/5 6:50:19      21.5
661              2020/4/5 6:50:49      21.5
662              2020/4/5 6:51:19      21.5
663              2020/4/5 6:51:49      21.5
664              2020/4/5 6:52:19      21.5
665              2020/4/5 6:52:49      21.5
666              2020/4/5 6:53:19      21.5
667              2020/4/5 6:53:49      21.5
668              2020/4/5 6:54:19      21.5
669              2020/4/5 6:54:49      21.5
670              2020/4/5 6:55:19      21.5
671              2020/4/5 6:55:49      21.5
672              2020/4/5 6:56:19      21.5
